statement,label,relation,subject,target,true_target
Nintendo is based in Toronto.,0,{} is based in,Nintendo,Toronto,Kyoto
The official language of President of the Basque Autonomous Community is Spanish.,1,The official language of {} is,President of the Basque Autonomous Community,Spanish,Spanish
The official language of President of the Basque Autonomous Community is Russian.,0,The official language of {} is,President of the Basque Autonomous Community,Russian,Spanish
The headquarters of AstraZeneca is in London.,1,The headquarters of {} is in,AstraZeneca,London,London
The headquarters of AstraZeneca is in Oslo.,0,The headquarters of {} is in,AstraZeneca,Oslo,London
The mother tongue of Porfiry Ivanov is Russian.,1,The mother tongue of {} is,Porfiry Ivanov,Russian,Russian
The mother tongue of Porfiry Ivanov is French.,0,The mother tongue of {} is,Porfiry Ivanov,French,Russian
Paul Dunmall is known for performing jazz.,1,{} is known for performing,Paul Dunmall,jazz,jazz
Paul Dunmall is known for performing opera.,0,{} is known for performing,Paul Dunmall,opera,jazz
Ennio Girolami's occupation is actor.,1,{}'s occupation is,Ennio Girolami,actor,actor
Ennio Girolami's occupation is politician.,0,{}'s occupation is,Ennio Girolami,politician,actor
Falck Group was created in Milan.,1,{} was created in,Falck Group,Milan,Milan
Falck Group was created in Stockholm.,0,{} was created in,Falck Group,Stockholm,Milan
Nederland was called after Netherlands.,1,{} was called after,Nederland,Netherlands,Netherlands
Nederland was called after Honolulu.,0,{} was called after,Nederland,Honolulu,Netherlands
The language used by Michiel Hazewinkel is Dutch.,1,The language used by {} is,Michiel Hazewinkel,Dutch,Dutch
The language used by Michiel Hazewinkel is French.,0,The language used by {} is,Michiel Hazewinkel,French,Dutch
Windows Vista is a product of Microsoft.,1,{} is a product of,Windows Vista,Microsoft,Microsoft
Windows Vista is a product of Renault.,0,{} is a product of,Windows Vista,Renault,Microsoft
Luc Moullet speaks the language French.,1,{} speaks the language,Luc Moullet,French,French
Luc Moullet speaks the language German.,0,{} speaks the language,Luc Moullet,German,French
Nissan Silvia is a product of Nissan.,1,{} is a product of,Nissan Silvia,Nissan,Nissan
Nissan Silvia is a product of Ferrari.,0,{} is a product of,Nissan Silvia,Ferrari,Nissan
Samuel Purchas writes in English.,1,{} writes in,Samuel Purchas,English,English
Samuel Purchas writes in Russian.,0,{} writes in,Samuel Purchas,Russian,English
Kangaroo Ground is within Victoria.,1,{} is within,Kangaroo Ground,Victoria,Victoria
Kangaroo Ground is within Florida.,0,{} is within,Kangaroo Ground,Florida,Victoria
Emad Hamdy works as actor.,1,{} works as,Emad Hamdy,actor,actor
Emad Hamdy works as composer.,0,{} works as,Emad Hamdy,composer,actor
The original language of The Lunchbox was Hindi.,1,The original language of {} was,The Lunchbox,Hindi,Hindi
The original language of The Lunchbox was Tamil.,0,The original language of {} was,The Lunchbox,Tamil,Hindi
Beaumont Glacier belongs to the continent of Antarctica.,1,{} belongs to the continent of,Beaumont Glacier,Antarctica,Antarctica
Beaumont Glacier belongs to the continent of Africa.,0,{} belongs to the continent of,Beaumont Glacier,Africa,Antarctica
Francis Poulenc speaks the language French.,1,{} speaks the language,Francis Poulenc,French,French
Francis Poulenc speaks the language Danish.,0,{} speaks the language,Francis Poulenc,Danish,French
Richard Brauer's profession is a mathematician.,1,{}'s profession is a,Richard Brauer,mathematician,mathematician
Richard Brauer's profession is a politician.,0,{}'s profession is a,Richard Brauer,politician,mathematician
Tokyo Actor's Consumer's Cooperative Society is headquartered in Tokyo.,1,{} is headquartered in,Tokyo Actor's Consumer's Cooperative Society,Tokyo,Tokyo
Tokyo Actor's Consumer's Cooperative Society is headquartered in Berlin.,0,{} is headquartered in,Tokyo Actor's Consumer's Cooperative Society,Berlin,Tokyo
Jonava District Municipality is located in Lithuania.,1,{} is located in,Jonava District Municipality,Lithuania,Lithuania
Jonava District Municipality is located in Austria.,0,{} is located in,Jonava District Municipality,Austria,Lithuania
The mother tongue of Albert Sarraut is French.,1,The mother tongue of {} is,Albert Sarraut,French,French
The mother tongue of Albert Sarraut is Russian.,0,The mother tongue of {} is,Albert Sarraut,Russian,French
Call Me Fitz premiered on HBO.,1,{} premiered on,Call Me Fitz,HBO,HBO
Call Me Fitz premiered on ESPN.,0,{} premiered on,Call Me Fitz,ESPN,HBO
The original language of Little Games is English.,1,The original language of {} is,Little Games,English,English
The original language of Little Games is Tamil.,0,The original language of {} is,Little Games,Tamil,English
The language of Dutch Wikipedia was Dutch.,1,The language of {} was,Dutch Wikipedia,Dutch,Dutch
The language of Dutch Wikipedia was English.,0,The language of {} was,Dutch Wikipedia,English,Dutch
Orange Free State is a part of the continent of Africa.,1,{} is a part of the continent of,Orange Free State,Africa,Africa
Orange Free State is a part of the continent of Europe.,0,{} is a part of the continent of,Orange Free State,Europe,Africa
Seoul is a twin city of Cairo.,1,{} is a twin city of,Seoul,Cairo,Cairo
Seoul is a twin city of Oslo.,0,{} is a twin city of,Seoul,Oslo,Cairo
Sheila Dixon was originally from Baltimore.,1,{} was originally from,Sheila Dixon,Baltimore,Baltimore
Sheila Dixon was originally from Atlanta.,0,{} was originally from,Sheila Dixon,Atlanta,Baltimore
Baby Daddy plays sitcom.,1,{} plays,Baby Daddy,sitcom,sitcom
Baby Daddy plays opera.,0,{} plays,Baby Daddy,opera,sitcom
Piotr Sztompka's expertise is sociology.,1,{}'s expertise is,Piotr Sztompka,sociology,sociology
Piotr Sztompka's expertise is mathematics.,0,{}'s expertise is,Piotr Sztompka,mathematics,sociology
Hapoel Jerusalem B.C. is located in Jerusalem.,1,{} is located in,Hapoel Jerusalem B.C.,Jerusalem,Jerusalem
Hapoel Jerusalem B.C. is located in Toronto.,0,{} is located in,Hapoel Jerusalem B.C.,Toronto,Jerusalem
Georges Aperghis found employment in Paris.,1,{} found employment in,Georges Aperghis,Paris,Paris
Georges Aperghis found employment in Stockholm.,0,{} found employment in,Georges Aperghis,Stockholm,Paris
Don Trull plays as quarterback.,1,{} plays as,Don Trull,quarterback,quarterback
Don Trull plays as midfielder.,0,{} plays as,Don Trull,midfielder,quarterback
The headquarter of Berliner Verkehrsbetriebe is in Berlin.,1,The headquarter of {} is in,Berliner Verkehrsbetriebe,Berlin,Berlin
The headquarter of Berliner Verkehrsbetriebe is in Wellington.,0,The headquarter of {} is in,Berliner Verkehrsbetriebe,Wellington,Berlin
Nicolaus Steno specializes in anatomy.,1,{} specializes in,Nicolaus Steno,anatomy,anatomy
Nicolaus Steno specializes in philosophy.,0,{} specializes in,Nicolaus Steno,philosophy,anatomy
Antoine Houdar de La Motte died in Paris.,1,{} died in,Antoine Houdar de La Motte,Paris,Paris
Antoine Houdar de La Motte died in Florence.,0,{} died in,Antoine Houdar de La Motte,Florence,Paris
Cambridge United F.C. is headquartered in Cambridge.,1,{} is headquartered in,Cambridge United F.C.,Cambridge,Cambridge
Cambridge United F.C. is headquartered in Tehran.,0,{} is headquartered in,Cambridge United F.C.,Tehran,Cambridge
The mother tongue of Paolo Tiralongo is Italian.,1,The mother tongue of {} is,Paolo Tiralongo,Italian,Italian
The mother tongue of Paolo Tiralongo is Dutch.,0,The mother tongue of {} is,Paolo Tiralongo,Dutch,Italian
Bentley Brooklands is created by Bentley.,1,{} is created by,Bentley Brooklands,Bentley,Bentley
Bentley Brooklands is created by Chevrolet.,0,{} is created by,Bentley Brooklands,Chevrolet,Bentley
Patuxent Wildlife Research Center is in Maryland.,1,{} is in,Patuxent Wildlife Research Center,Maryland,Maryland
Patuxent Wildlife Research Center is in Illinois.,0,{} is in,Patuxent Wildlife Research Center,Illinois,Maryland
Braden Looper plays as pitcher.,1,{} plays as,Braden Looper,pitcher,pitcher
Braden Looper plays as goalkeeper.,0,{} plays as,Braden Looper,goalkeeper,pitcher
Francisco Largo Caballero worked in the city of Madrid.,1,{} worked in the city of,Francisco Largo Caballero,Madrid,Madrid
Francisco Largo Caballero worked in the city of London.,0,{} worked in the city of,Francisco Largo Caballero,London,Madrid
The expertise of Leonard Peikoff is philosophy.,1,The expertise of {} is,Leonard Peikoff,philosophy,philosophy
The expertise of Leonard Peikoff is mathematics.,0,The expertise of {} is,Leonard Peikoff,mathematics,philosophy
The original language of The Sarah Jane Adventures was English.,1,The original language of {} was,The Sarah Jane Adventures,English,English
The original language of The Sarah Jane Adventures was Korean.,0,The original language of {} was,The Sarah Jane Adventures,Korean,English
Ahmad Karimi-Hakkak speaks Persian.,1,{} speaks,Ahmad Karimi-Hakkak,Persian,Persian
Ahmad Karimi-Hakkak speaks French.,0,{} speaks,Ahmad Karimi-Hakkak,French,Persian
Sam Mendes writes in English.,1,{} writes in,Sam Mendes,English,English
Sam Mendes writes in Hindi.,0,{} writes in,Sam Mendes,Hindi,English
Pankaj Udhas has a citizenship from India.,1,{} has a citizenship from,Pankaj Udhas,India,India
Pankaj Udhas has a citizenship from Albania.,0,{} has a citizenship from,Pankaj Udhas,Albania,India
The language of Voodoo Lounge was English.,1,The language of {} was,Voodoo Lounge,English,English
The language of Voodoo Lounge was Polish.,0,The language of {} was,Voodoo Lounge,Polish,English
Les Colocs was founded in Montreal.,1,{} was founded in,Les Colocs,Montreal,Montreal
Les Colocs was founded in London.,0,{} was founded in,Les Colocs,London,Montreal
Edinburgh is a twin city of Kiev.,1,{} is a twin city of,Edinburgh,Kiev,Kiev
Edinburgh is a twin city of Karachi.,0,{} is a twin city of,Edinburgh,Karachi,Kiev
Nissan Civilian is developed by Nissan.,1,{} is developed by,Nissan Civilian,Nissan,Nissan
Nissan Civilian is developed by Toyota.,0,{} is developed by,Nissan Civilian,Toyota,Nissan
Cemil Topuzlu Open-Air Theatre is owned by Istanbul.,1,{} is owned by,Cemil Topuzlu Open-Air Theatre,Istanbul,Istanbul
Cemil Topuzlu Open-Air Theatre is owned by Microsoft.,0,{} is owned by,Cemil Topuzlu Open-Air Theatre,Microsoft,Istanbul
The original language of The Caretaker was English.,1,The original language of {} was,The Caretaker,English,English
The original language of The Caretaker was Filipino.,0,The original language of {} was,The Caretaker,Filipino,English
Mamou Region is located in Guinea.,1,{} is located in,Mamou Region,Guinea,Guinea
Mamou Region is located in London.,0,{} is located in,Mamou Region,London,Guinea
Bas Jan Ader speaks Dutch.,1,{} speaks,Bas Jan Ader,Dutch,Dutch
Bas Jan Ader speaks Italian.,0,{} speaks,Bas Jan Ader,Italian,Dutch
The mother tongue of George Sand is French.,1,The mother tongue of {} is,George Sand,French,French
The mother tongue of George Sand is English.,0,The mother tongue of {} is,George Sand,English,French
Suddenly Susan was originally aired on NBC.,1,{} was originally aired on,Suddenly Susan,NBC,NBC
Suddenly Susan was originally aired on HBO.,0,{} was originally aired on,Suddenly Susan,HBO,NBC
Jack Laurence Chalker passed away at Baltimore.,1,{} passed away at,Jack Laurence Chalker,Baltimore,Baltimore
Jack Laurence Chalker passed away at Paris.,0,{} passed away at,Jack Laurence Chalker,Paris,Baltimore
Raymond Queneau is a native speaker of French.,1,{} is a native speaker of,Raymond Queneau,French,French
Raymond Queneau is a native speaker of Dutch.,0,{} is a native speaker of,Raymond Queneau,Dutch,French
DVD Studio Pro is a product of Apple.,1,{} is a product of,DVD Studio Pro,Apple,Apple
DVD Studio Pro is a product of Sega.,0,{} is a product of,DVD Studio Pro,Sega,Apple
Dhanush works as actor.,1,{} works as,Dhanush,actor,actor
Dhanush works as architect.,0,{} works as,Dhanush,architect,actor
Maui Fever was released on MTV.,1,{} was released on,Maui Fever,MTV,MTV
Maui Fever was released on ESPN.,0,{} was released on,Maui Fever,ESPN,MTV
College Football Live debuted on ESPN.,1,{} debuted on,College Football Live,ESPN,ESPN
College Football Live debuted on CBS.,0,{} debuted on,College Football Live,CBS,ESPN
IndusInd Bank's headquarters are in Mumbai.,1,{}'s headquarters are in,IndusInd Bank,Mumbai,Mumbai
IndusInd Bank's headquarters are in Dublin.,0,{}'s headquarters are in,IndusInd Bank,Dublin,Mumbai
The headquarter of Kewpee is located in Lima.,1,The headquarter of {} is located in,Kewpee,Lima,Lima
The headquarter of Kewpee is located in Glasgow.,0,The headquarter of {} is located in,Kewpee,Glasgow,Lima
The domain of activity of Italian Chemical Society is chemistry.,1,The domain of activity of {} is,Italian Chemical Society,chemistry,chemistry
The domain of activity of Italian Chemical Society is physics.,0,The domain of activity of {} is,Italian Chemical Society,physics,chemistry
Ross Perot is employed by IBM.,1,{} is employed by,Ross Perot,IBM,IBM
Ross Perot is employed by BBC.,0,{} is employed by,Ross Perot,BBC,IBM
The language used by Michel Godard is French.,1,The language used by {} is,Michel Godard,French,French
The language used by Michel Godard is English.,0,The language used by {} is,Michel Godard,English,French
Jules Paul Benjamin Delessert found employment in Paris.,1,{} found employment in,Jules Paul Benjamin Delessert,Paris,Paris
Jules Paul Benjamin Delessert found employment in Milan.,0,{} found employment in,Jules Paul Benjamin Delessert,Milan,Paris
The original language of Charlie Hebdo was French.,1,The original language of {} was,Charlie Hebdo,French,French
The original language of Charlie Hebdo was English.,0,The original language of {} was,Charlie Hebdo,English,French
Jerzy Topolski has a citizenship from Poland.,1,{} has a citizenship from,Jerzy Topolski,Poland,Poland
Jerzy Topolski has a citizenship from Ireland.,0,{} has a citizenship from,Jerzy Topolski,Ireland,Poland
Vladimir Vinogradov died at Moscow.,1,{} died at,Vladimir Vinogradov,Moscow,Moscow
Vladimir Vinogradov died at Wilmington.,0,{} died at,Vladimir Vinogradov,Wilmington,Moscow
The original language of Maria egiziaca was Italian.,1,The original language of {} was,Maria egiziaca,Italian,Italian
The original language of Maria egiziaca was Tamil.,0,The original language of {} was,Maria egiziaca,Tamil,Italian
Ken Murray's profession is an actor.,1,{}'s profession is an,Ken Murray,actor,actor
Ken Murray's profession is an diplomat.,0,{}'s profession is an,Ken Murray,diplomat,actor
"In Quebec City, an official language is French.",1,"In {}, an official language is",Quebec City,French,French
"In Quebec City, an official language is English.",0,"In {}, an official language is",Quebec City,English,French
The mother tongue of Russians is Russian.,1,The mother tongue of {} is,Russians,Russian,Russian
